product_id,shop_id,category_id,name,SKU,upload_date,price,stock,sold_quantities,desciption,image,rating,rate_nums
10001,14,2001,"Wyze Cam Floodlight with 2600 Lumen LEDs| Wired 1080p HD IP65 Outdoor Smart Security Camera| Color Night Vision| 270-Degree Customizable Motion Detection| 105dB Siren| and Two-Way Audio
Visit the WYZE Store",KS944RUR,11/3/2022,30.98,13922,8250,Products with electrical plugs are designed for use in the US. Outlets and voltage differ internationally and this product may require an adapter or converter for use in your destination. Please check compatibility before purchasing.,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61g8sxtpgeL._AC_SL1500_.jpg,4.2,5775
10002,14,2001,Wyze Expandable Storage 32GB MicroSDHC Card Class 10 Black,EMSD32C1,10/13/2021,11.96,58266,30779,Maximizes your Wyze Cam's functionality with continuous recording and time-lapse video and enables video to continue to record even if WiFi connection is interrupted.,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61rPehXRMPL._AC_SL1500_.jpg,4.6,21546
10003,14,2001,WYZE Cam OG 1080p HD Wi-Fi Security Camera - Indoor/Outdoor| Color Night Vision| Spotlight| 2-Way Audio| Cloud & Local storage- Ideal for Home Security| Baby| Pet Monitoring Alexa Google Assistant,KS244RUU,9/22/2022,19.98,45878,4970,Livestream with Color Night Vision - Monitor your home day or night with 1080P HD video & color night vision..Power Adaptor Input : Input - 110-240V(AC/DC)| Output - 5V/1A.,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51YntiXZVIL._AC_SL1500_.jpg,4.4,3479
10004,15,2001,JENSEN JDASHCP 7-inch Certified Apple CarPlay Android | Portable Dash Mount Car Stereo Radio Screen | All Vehicles | Car Truck RV EV Tesla | Bluetooth Hands Free Calling & Music Streaming | USB Input,EMSD32C0,2/28/2019,219.99,5690,2145,7 INCH LED HIGH RESOLUTION TOUCH SCREEN (1024 x 600) – the 7-inch LED high resolution touch screen display provides a comfortable viewing experience while keeping all your favorite content within fingers reach.,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61YRXZwkueL._AC_SL1500_.jpg,3.9,1502
10005,15,2001,Jensen MPR420 7 Character LCD Double DIN Car Stereo Radio | Push to Talk Assistant | Bluetooth Hands Free Calling & Music Streaming | AM/FM Radio | USB Playback & Charging | Not a CD Player,ESSD32C0,11/1/2019,39.86,2451,780,7 CHARACTER HIGH RESOLUTION LCD – your high resolution 7 character LCD display provides you with a comfortable viewing experience while behind the wheel| keeps all your favorite presets/apps within fingers reach and is extremely responsive,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71gHIBPabrL._AC_SL1500_.jpg,4,546
10006,15,2001,Metra 95-5812 Double DIN Installation Kit Fits SELECT 2004-2019 Ford Vehicles -Black.,ESSD3299,8/1/2020,12.36,7485,8708,Stereo installation kit designed to fit any standard 4O tall aftermarket radio,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61zUM4oTwuL._AC_SL1500_.jpg,4.3,6096
10007,15,2001,Metra 70-5521 Radio Wiring Harness for Ford 03-Up Amp| computer,ESSD3200,10/16/2020,9.25,5870,3645,One 24-pin power plug and one 8-pin subwoofer plug.Includes Ford Lincoln and Mercury 2003-2005 Turbowire and a 8-pin harness with a pair of RCAs for the OE woofer(s),https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61CORK-mQCL._AC_SL1500_.jpg,4.4,2552
10008,21,2001,SAMSUNG Galaxy Tab A8 10.5O 32GB Android Tablet| LCD Screen| Kids Content| Smart Switch| Expandable Memory| Long Lasting Battery| Fast Charging| US Version| 2022| Dark Gray,HS244RZ0,3/13/2022,149.99,87666,20374,"A SCREEN EVERYONE WILL LOVE: Whether your family is streaming or video chatting with friends| the Galaxy Tab A8 tablet brings out the best in every moment on a 10.5"" LCD screen.Card description: ?Dedicated",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61krikJxTmL._AC_SL1200_.jpg,4.5,14262
10009,21,2001,SAMSUNG Galaxy A8 32GB Tab (Gray| Renewed),HS244RR0,7/16/2021,141.39,1042,464,Kids Digital Learning: Children can enjoy access to Samsung Kids| a library of safe and fun games| books| and videos that are kid-friendly and parent-approved,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61krikJxTmL._AC_SL1200_.jpg,4.4,325
10010,22,2002,"MSI Thin GF63 15.6"" 144Hz Gaming Laptop: 12th Gen Intel Core i7| NVIDIA GeForce RTX 4050| 16GB DDR4| 512GB NVMe SSD| Type-C| Cooler Boost 5| Win11 Home: Black 12VE-066US",MS234RR0,1/21/2019,880,1254,2146,12th Gen Intel Core i7 Processor: Performance to stream and game anywhere. Designed to deliver high-performance gameplay.,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71JqyTBiXrL._AC_SL1500_.jpg,4.4,1503
